locality,Price,Type_property,Sale_type,Number_bedrooms,Living_area,fully_equipped_kitchen,Furnished,terrace,garden,surface_land,surface_area_plot,facades_number,Swimming_pool,building_state,fire_place
antwerp,299000,apartment,for-sale,3,103,1,0,8,None,103,None,2,None,As new,None
willebroek,150000,apartment,for-sale,1,67,1,0,4,None,67,None,None,None,Just renovated,None
willebroek,155000,apartment,for-sale,1,67,1,0,4,None,67,None,None,None,Just renovated,None
antwerpen,390000,house,for-sale,3,180,1,None,None,120,180,207,2,0,Good,1
berchem,229000,apartment,for-sale,3,85,None,0,None,None,85,None,2,None,Good,None
willebroek,135000,flat-studio,for-sale,1,50,1,0,None,None,50,None,2,None,Good,None
antwerp,179000,apartment,for-sale,2,79,1,0,5,None,79,None,2,None,Good,None
hoboken,199000,apartment,for-sale,2,90,1,0,9,None,90,None,2,None,Good,None
willebroek,219000,apartment,for-sale,2,93,1,0,10,None,93,None,2,None,Good,None
willebroek,221000,apartment,for-sale,2,83,1,0,None,None,83,None,2,None,To be done up,None
hoboken,225000,apartment,for-sale,2,82,1,0,6,None,82,None,None,None,As new,None
bornem,234000,house,for-sale,3,123,1,0,30,None,123,190,3,None,To renovate,None
neder-over-heembeek,575000,house,for-sale,4,165,1,0,19,42,165,None,2,None,As new,None
ninove,475000,house,for-sale,3,212,1,0,None,None,212,1687,None,None,Good,None
antwerpen-6,229000,duplex,for-sale,1,67,1,1,4,None,67,None,2,None,Just renovated,None
sint-idesbald,375000,apartment,for-sale,2,67,1,1,3,None,67,None,2,0,Just renovated,None
roeselare,185000,house,for-sale,3,209,1,1,None,None,209,259,4,None,Good,None
waregem,290000,duplex,for-sale,2,115,1,0,6,None,115,None,4,0,As new,None
herent,441000,apartment,for-sale,2,122,1,0,20,None,122,None,None,None,As new,None
brugge,900000,house,for-sale,2,668,1,0,None,None,668,284,2,0,To be done up,None
sint-amands,289000,apartment,for-sale,3,138,1,0,21,None,138,None,2,None,Good,None
willebroek,295000,mixed-use-building,for-sale,4,80,1,0,None,None,80,350,2,None,To renovate,None
sint-job-in-t-goor,335000,duplex,for-sale,2,128,1,0,22,None,128,None,3,None,As new,None
mechelen,349000,apartment,for-sale,3,120,1,0,None,None,120,None,2,None,To be done up,None
mechelen,595000,mixed-use-building,for-sale,4,232,1,0,None,None,232,89,2,0,Good,None
brasschaat,3250000,villa,for-sale,5,577,1,1,396,8500,577,10431,4,1,Good,1
willebroek,195000,ground-floor,for-sale,1,67,1,0,11,85,67,None,2,None,Just renovated,None
hoboken,375000,house,for-sale,4,214,1,0,11,126,214,190,2,None,As new,None
lippelo,444000,house,for-sale,5,371,1,0,30,None,371,460,3,None,Good,None
putte,525000,house,for-sale,3,260,1,None,None,None,260,898,4,0,As new,None
onze-lieve-vrouw-waver,199000,apartment,for-sale,1,59,1,0,None,None,59,None,2,None,Good,None
antwerpen,249000,apartment,for-sale,3,121,1,None,6,None,121,None,2,0,Good,None
beerzel,299500,apartment,for-sale,2,67,1,0,7,None,67,None,None,None,Good,None
wilrijk,314000,apartment,for-sale,4,145,None,0,13,None,145,None,3,None,As new,None
liezele,318000,apartment,for-sale,2,108,1,0,6,None,108,None,None,None,Good,None
hemiksem,400000,apartment,for-sale,2,150,1,0,7,None,150,None,4,None,Good,None
antwerpen,565000,penthouse,for-sale,2,133,1,0,25,None,133,None,3,None,As new,None
antwerp,649000,triplex,for-sale,2,222,1,0,7,None,222,None,2,None,Good,None
hoogstraten,995000,penthouse,for-sale,4,267,1,0,None,None,267,None,3,None,As new,1
antwerpen,1235000,apartment,for-sale,3,197,1,0,130,None,197,None,2,1,Good,1
antwerpen,840000,house,for-sale,5,445,1,None,12,None,445,445,1,0,To be done up,None
bornem,194000,house,for-sale,3,100,1,0,None,150,100,283,3,None,To renovate,None
duffel,395000,house,for-sale,4,165,1,0,63,360,165,689,3,None,To be done up,None
hoboken,195000,apartment,for-sale,2,90,1,0,6,None,90,None,2,None,To be done up,None
duffel,210000,apartment,for-sale,2,95,1,0,None,None,95,None,None,None,Good,None
bornem,295000,apartment,for-sale,2,102,1,0,3,None,102,None,2,None,Good,None
zwijndrecht-burcht,495000,penthouse,for-sale,2,135,1,0,65,None,135,None,3,0,As new,None
oud-turnhout,575000,apartment,for-sale,3,230,1,0,30,None,230,None,4,None,As new,1
oud-turnhout,585000,apartment,for-sale,3,222,1,0,30,None,222,None,4,None,As new,None
berchem,395000,apartment,for-sale,2,132,1,None,None,None,132,None,2,0,Good,None
sint-amands,289000,apartment,for-sale,3,138,1,0,21,None,138,None,2,None,Good,None
